eventName,time,subjectName,objectBehavior
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944
